wall_time,elapsed_sec,nodes,edges,edges_per_sec_window,max_out_degree,max_in_degree
1762621014.8721569,0.43393468856811523,2,1,0.2,1,1
1762621014.872223,0.43400073051452637,3,2,0.4,2,1
1762621014.8722382,0.43401598930358887,4,3,0.6,3,1
1762621014.872246,0.4340238571166992,5,4,0.8,4,1
1762621014.872254,0.43403172492980957,6,5,1.0,5,1
1762621014.872261,0.4340388774871826,7,6,1.2,6,1
1762621014.872268,0.43404579162597656,8,7,1.4,7,1
1762621014.8722749,0.4340527057647705,9,8,1.6,8,1
1762621014.872281,0.43405890464782715,10,9,1.8,9,1
1762621014.872287,0.4340648651123047,11,10,2.0,10,1
1762621014.872294,0.43407177925109863,12,11,2.2,11,1
1762621014.872301,0.4340789318084717,13,12,2.4,12,1
1762621014.872307,0.4340848922729492,14,13,2.6,13,1
1762621014.872313,0.43409085273742676,15,14,2.8,14,1
1762621014.872319,0.4340968132019043,16,15,3.0,15,1
1762621014.8723252,0.43410301208496094,17,16,3.2,16,1
1762621014.872332,0.4341099262237549,18,17,3.4,17,1
1762621014.8723378,0.4341156482696533,19,18,3.6,18,1
1762621014.8723462,0.4341239929199219,20,19,3.8,19,1
1762621034.844743,20.40652084350586,22,20,0.2,19,1
1762621034.8507898,20.412567615509033,23,21,0.4,19,1
1762621034.8572328,20.419010639190674,24,22,0.6,19,1
1762621034.863442,20.425219774246216,25,23,0.8,19,1
1762621034.869083,20.43086075782776,26,24,1.0,19,1
1762621034.875486,20.43726372718811,28,25,1.2,19,1
1762621034.881768,20.443545818328857,28,26,1.4,19,1
1762621034.888161,20.449938774108887,29,27,1.6,19,1
1762621034.8945532,20.45633101463318,30,28,1.8,19,1
1762621034.9009159,20.462693691253662,31,29,2.0,19,1
1762621034.9088871,20.470664978027344,32,30,2.2,19,1
1762621034.91421,20.475987911224365,33,31,2.4,19,1
1762621034.921529,20.483306884765625,34,32,2.6,19,1
1762621034.927399,20.489176750183105,35,33,2.8,19,1
1762621034.934036,20.495813846588135,36,34,3.0,19,1
1762621034.9424582,20.504235982894897,37,35,3.2,19,1
1762621034.9477172,20.50949501991272,38,36,3.4,19,1
1762621034.954593,20.51637077331543,39,37,3.6,19,1
1762621034.9606981,20.522475957870483,40,38,3.8,19,1
1762621034.966914,20.52869176864624,41,39,4.0,19,1
1762621034.975192,20.536969900131226,42,40,4.2,19,1
1762621034.979558,20.541335821151733,43,41,4.4,19,1
1762621034.9858718,20.5476496219635,44,42,4.6,19,1
1762621034.992046,20.553823947906494,45,43,4.8,19,1
1762621034.998713,20.56049084663391,46,44,5.0,20,1
1762621035.00734,20.569117784500122,47,45,5.2,21,1
1762621035.012218,20.57399582862854,48,46,5.4,22,1
1762621035.0174239,20.579201698303223,49,47,5.6,23,1
1762621035.023989,20.585766792297363,50,48,5.8,23,1
1762621035.02967,20.591447830200195,50,49,6.0,23,1
1762621035.036368,20.598145723342896,51,50,6.2,23,1
1762621035.046241,20.60801887512207,52,51,6.4,23,1
1762621035.048976,20.610753774642944,53,52,6.6,23,1
1762621035.055347,20.617124795913696,53,53,6.8,23,2
1762621035.0616379,20.62341570854187,54,54,7.0,23,2
1762621035.067418,20.62919592857361,54,55,7.2,23,2
1762621035.0746272,20.636404991149902,55,56,7.4,23,2
1762621035.0806642,20.642441987991333,56,57,7.6,23,2
1762621035.0868201,20.648597955703735,57,58,7.8,23,2
1762621035.092889,20.654666900634766,57,59,8.0,23,2
1762621035.099753,20.66153073310852,58,60,8.2,23,2
1762621035.106548,20.668325901031494,59,61,8.4,23,2
1762621035.1150131,20.676790952682495,60,62,8.6,23,2
1762621035.118117,20.67989492416382,61,63,8.8,23,2
1762621035.123212,20.68498992919922,62,64,9.0,23,2
1762621035.130254,20.692031860351562,63,65,9.2,23,2
1762621035.136384,20.698161840438843,63,66,9.4,23,2
